,id,skills,rank-model1,rank-model2,rank-model3
7516,74299,['Node.js'],3.0,1.0,1.0
6343,102795,"['Puppet', 'Ansible', 'Docker', 'Chef']",4.0,2.0,2.0
10284,118970,"['3d Unity', 'Unity Developer', 'unity programmer', 'unity software engineer', 'unity software developer', 'unity program', 'Lightning', 'Texturing', 'rigging and Animation', 'Unity 3D', '3D modeling']",6.0,3.0,3.0
1347,35455,"['GIT', 'AWS', 'Puppet', 'Ansible', 'Chef']",5.0,4.0,4.0
5362,91632,['Ruby on Rails'],17.0,9.0,5.0
2775,86869,"['Django', 'Python']",8.5,5.5,8.5
7800,73728,"['Django', 'Python']",8.5,5.5,8.5
4827,28336,"['Cloud Architect', 'Cloud', 'XML', 'DevOps', 'AWS', 'Google Cloud', 'GitHub', 'Jenkins', 'Docker', 'Puppet', 'C++', 'Python', 'Java', 'JavaScript', 'Azure', 'Chef']",2.0,7.0,24.0
3055,107403,"['JS', 'Node.js', 'Redis', 'Scala', 'Ruby', 'JQuery', 'MySQL', 'PHP', 'Java', 'Python', 'C++', 'C#']",1.0,8.0,31.0
